group	query	accession	organism_name	tax_id	strain	isolate	assembly_name	assembly_level	refseq_category	release_date	contig_count	total_length	gc_percent	checkm_completeness	checkm_contamination	biosample	bioproject	annotation_name	annotation_pipeline	annotation_status	species_key	selection_round	quality_rank_within_species	quality_gate	display_label	panel_order	selection_version	data_source
Lactococcus	Lactococcus	GCF_024637335.1	Lactococcus carnosus	1496982	DSM 29532		ASM2463733v1	Complete Genome		2022-08-09	2	2492498	35.9	99.35	0.11	SAMN19906005	PRJNA741452	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus carnosus	1	1	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus carnosus DSM 29532	1	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_043904715.1	Lactococcus cremoris	1359	UC509.9		ASM4390471v1	Complete Genome		2024-10-23	3	2497844	35.7	99.58	0.02	SAMN44305685	PRJNA1177425	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus cremoris	1	1	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus cremoris UC509.9	2	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_000192705.1	Lactococcus garvieae	1363	ATCC 49156		ASM19270v1	Complete Genome		2011-03-04	2	2012385	38.7	99.09	0.17	SAMN02603396	PRJNA42503	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus garvieae	1	1	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus garvieae ATCC 49156	3	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_000447925.1	Lactococcus lactis	1360	KF147		ASM44792v1	Complete Genome		2013-09-19	4	2598144	34.9	99.53	0.12	SAMN02603630	PRJNA16960	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus lactis	1	1	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus lactis KF147	4	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_002982095.1	Lactococcus petauri	2211269	159469		ASM298209v1	Complete Genome		2018-05-24	3	2204570	38.0	99.14	0.13	SAMN08877502	PRJNA448537	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus petauri	1	1	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus petauri 159469	5	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_036350145.1	Lactococcus piscium	1364	MKFS47		ASM3635014v1	Complete Genome		2024-03-26	3	2437332	38.8	99.38	0.09	SAMN39289666	PRJNA1055860	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus piscium	1	1	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus piscium MKFS47	6	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_003795125.1	Lactococcus raffinolactis	1366	WiKim0068		ASM379512v1	Complete Genome		2018-10-11	3	2247171	39.0	99.37	0.06	SAMN09912149	PRJNA489388	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus raffinolactis	1	1	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus raffinolactis WiKim0068	7	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_039512175.1	Lactococcus taiwanensis	2169331	M4		ASM3951217v1	Complete Genome		2024-06-19	3	2269455	38.9	99.07	0.14	SAMN41632391	PRJNA1126074	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus taiwanensis	1	1	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus taiwanensis M4	8	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_006094995.1	Lactococcus cremoris	1359	UC11		ASM609499v1	Complete Genome		2019-05-17	2	2422711	35.8	99.54	0.03	SAMN10832192	PRJNA515614	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus cremoris	2	2	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus cremoris UC11	9	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_900142375.1	Lactococcus lactis	1360	TIFN4		TIFN4	Complete Genome		2017-01-11	2	2506323	35.3	99.50	0.08	SAMN02603977	PRJNA168241	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus lactis	2	2	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus lactis TIFN4	10	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_038420335.1	Lactococcus petauri	2211269	B1		ASM3842033v1	Complete Genome		2024-05-15	3	2274913	37.8	99.18	0.04	SAMN40746617	PRJNA1103571	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus petauri	2	2	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus petauri B1	11	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_000344595.1	Lactococcus piscium	1364	MKFS47		ASM34459v1	Complete Genome		2013-01-31	2	2437174	38.8	99.38	0.09	SAMN02603869	PRJNA51459	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus piscium	2	2	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus piscium MKFS47	12	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_019891175.1	Lactococcus raffinolactis	1366	CCUG 7981		ASM1989117v1	Complete Genome		2021-08-17	2	2246387	39.0	99.36	0.08	SAMN20311784	PRJNA752202	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus raffinolactis	2	2	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus raffinolactis CCUG 7981	13	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_900100695.1	Lactococcus cremoris	1359	NCDO 712		NCDO712	Complete Genome		2016-06-10	4	2499511	35.7	99.51	0.08	SAMEA2272083	PRJEB8048	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus cremoris	3	3	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus cremoris NCDO 712	14	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
Lactococcus	Lactococcus	GCF_000009425.1	Lactococcus lactis	1360	Il1403		ASM942v1	Complete Genome	Reference Genome	2007-01-16	1	2365589	35.3	99.56	0.02	SAMN02603170	PRJNA236	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Updated annotation	Lactococcus lactis	3	3	RefSeq GCF; named non-bracketed species; CheckM>=95%; contamination<=5%; contigs<=100	Lactococcus lactis Il1403	15	strict150_v2_2026-08-26	NCBI RefSeq metadata screen retrieved with Datasets 18.36.0
